ads_title,posted_date,priority_date,category,school,department,specialization,rank,city,state,canada,current_status,comments1,comments2,ads_source,ads_job_code
Assistant Professor - Yale University School of Medicine,02/09/2021,03/10/2021,,"=hyperlink(""https://apply.interfolio.com/83600"",""Yale University - School of Medicine"")",,Biochemical,asst,West Haven,Connecticut,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31059/assistant-professor-yale-university-school-of-medicine/"",""C&ENJobs"")",31059
Tenure Track Position in Indigenous Science,02/09/2021,04/10/2021,,"=hyperlink(""https://hr.cf.ryerson.ca/ams/faculty/preview.cfm?posting_id=538526"",""Ryerson University"")",,"Biochemical,Biotechnical,Energy / Fuels,Environmental,General / Technical,Microbiological,Toxicological",,Toronto (Region),Ontario (CA),True,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31063/tenure-track-position-in-indigenous-science/?LinkSource=PremiumListing"",""C&ENJobs"")",31063
Analytical Instrument Sales Representative,02/09/2021,03/11/2021,,"=hyperlink(""https://jobs.thermofisher.com/global/en/job/130856BR"",""Thermo Fisher Scientific"")",,Medicinal / Clinical,,Chicago,Illinois,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31062/analytical-instrument-sales-representative/"",""C&ENJobs"")",31062
Assistant Professor of Pharmaceutical Chemistry,02/08/2021,03/10/2021,,"=hyperlink(""https://employment.ku.edu/academic/18330BR"",""University of Kansas/Sch of Pharm/Pharm Chem"")",,Pharmaceutical,asst,Lawrence,Kansas USA,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31061/assistant-professor-of-pharmaceutical-chemistry/?LinkSource=PremiumListing"",""C&ENJobs"")",31061
Tenure Track Faculty Position in Chemistry Pedagogy,02/05/2021,04/06/2021,,"=hyperlink(""https://hr.cf.ryerson.ca/ams/faculty/preview.cfm?posting_id=538832"",""Ryerson University"")",,Education,,Toronto (City),Ontario (CA),True,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31052/tenure-track-faculty-position-in-chemistry-pedagogy/?LinkSource=PremiumListing"",""C&ENJobs"")",31052
Open Rank - Chemistry Education Research,02/05/2021,03/07/2021,,"=hyperlink(""https://www.higheredjobs.com/institution/details.cfm?JobCode=177403382&Title=Associate%20Professor%20Term%20%28Open%20Rank%29%20%2D%20Immunotherapy%20%28Job%20Id%3A%2040496%29&aID=7137"",""University of Louisville Chemistry"")",,"Education,General / Technical",,University of Louisville,Louisville,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31055/open-rank-chemistry-education-research/?LinkSource=PremiumListing"",""C&ENJobs"")",31055
Tenure Track Assistant Professor in Chemistry,02/04/2021,03/06/2021,,"=hyperlink(""https://apply.interfolio.com/83374"",""University of New Haven"")",,Education,asst,West Haven,Connecticut,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31049/tenure-track-assistant-professor-in-chemistry/"",""C&ENJobs"")",31049
Research Assistant I/II (Laboratory Chemist),02/04/2021,03/06/2021,,"=hyperlink(""https://www.auemployment.com/postings/21215"",""Graystone Group Advertising"")",,Biological,asst,Auburn,Alabama,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31047/research-assistant-i-ii-laboratory-chemist-/"",""C&ENJobs"")",31047
Manager- Analytical R&D Operations,02/04/2021,04/05/2021,,"=hyperlink(""https://careers-entegris.icims.com/jobs/8332/manager--analytical-r%26d-operations/job?hub=14&mobile=false&width=1053&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240"",""Entegris"")",,"Analytical,Engineering",,Burnet,Texas,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31044/manager-analytical-r-and-d-operations/?LinkSource=PremiumListing"",""C&ENJobs"")",31044
Assistant/Associate Professor of Medicinal Chemistry,02/04/2021,03/06/2021,,"=hyperlink(""https://wne.csod.com/ats/careersite/search.aspx?site=1&c=wne"",""Western New England University"")",,Pharmaceutical,asst/assoc,Springfield,Massachusetts,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31046/assistant-associate-professor-of-medicinal-chemistry/"",""C&ENJobs"")",31046
"Visiting Assistant Professor, Chemistry",02/04/2021,03/06/2021,,"=hyperlink(""https://berry.interviewexchange.com/jobofferdetails.jsp;jsessionid=C1C8EAC1BDE080417C6D8782C9A56753?JOBID=128035"",""Berry College Human Resources"")",,Analytical,asst,Mount Berry,Georgia,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31041/visiting-assistant-professor-chemistry/"",""C&ENJobs"")",31041
