ads_title,posted_date,priority_date,category,school,department,specialization,rank,city,state,canada,current_status,comments1,comments2,ads_source,ads_job_code
Tenure Track Faculty Position in Chemistry Pedagogy,02/05/2021,04/06/2021,,"=hyperlink(""https://hr.cf.ryerson.ca/ams/faculty/preview.cfm?posting_id=538832"",""Ryerson University"")",,Education,,Toronto (City),Ontario (CA),,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31052/tenure-track-faculty-position-in-chemistry-pedagogy/?LinkSource=PremiumListing"",""C&ENJobs"")",31052
Open Rank - Chemistry Education Research,02/05/2021,03/07/2021,,"=hyperlink(""https://www.higheredjobs.com/institution/details.cfm?JobCode=177403382&Title=Associate%20Professor%20Term%20%28Open%20Rank%29%20%2D%20Immunotherapy%20%28Job%20Id%3A%2040496%29&aID=7137"",""University of Louisville Chemistry"")",,"Education,General / Technical",,University of Louisville,Louisville,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31055/open-rank-chemistry-education-research/?LinkSource=PremiumListing"",""C&ENJobs"")",31055
Tenure Track Assistant Professor in Chemistry,02/04/2021,03/06/2021,,"=hyperlink(""https://apply.interfolio.com/83374"",""University of New Haven"")",,Education,asst,West Haven,Connecticut,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31049/tenure-track-assistant-professor-in-chemistry/"",""C&ENJobs"")",31049
Research Assistant I/II (Laboratory Chemist),02/04/2021,03/06/2021,,"=hyperlink(""https://www.auemployment.com/postings/21215"",""Graystone Group Advertising"")",,Biological,asst,Auburn,Alabama,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31047/research-assistant-i-ii-laboratory-chemist-/"",""C&ENJobs"")",31047
Manager- Analytical R&D Operations,02/04/2021,04/05/2021,,"=hyperlink(""https://careers-entegris.icims.com/jobs/8332/manager--analytical-r%26d-operations/job?hub=14&mobile=false&width=1053&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240"",""Entegris"")",,"Analytical,Engineering",,Burnet,Texas,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31044/manager-analytical-r-and-d-operations/?LinkSource=PremiumListing"",""C&ENJobs"")",31044
"Visiting Assistant Professor, Chemistry",02/04/2021,03/06/2021,,"=hyperlink(""https://berry.interviewexchange.com/jobofferdetails.jsp;jsessionid=95B7C2BF6D190A35D9B0F4C4C24D752B?JOBID=128035"",""Berry College Human Resources"")",,Analytical,asst,Mount Berry,Georgia,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31041/visiting-assistant-professor-chemistry/"",""C&ENJobs"")",31041
Assistant/Associate Professor of Medicinal Chemistry,02/04/2021,03/06/2021,,"=hyperlink(""https://wne.csod.com/ats/careersite/search.aspx?site=1&c=wne"",""Western New England University"")",,Pharmaceutical,asst/assoc,Springfield,Massachusetts,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31046/assistant-associate-professor-of-medicinal-chemistry/"",""C&ENJobs"")",31046
Assistant Professor,02/03/2021,03/05/2021,,"=hyperlink(""https://academicpositions.harvard.edu/postings/9917"",""Dana-Farber Cancer Institute"")",,Biochemical,asst,Boston,Massachusetts,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31038/assistant-professor/"",""C&ENJobs"")",31038
Medicinal Chemistry Faculty,02/03/2021,03/05/2021,,"=hyperlink(""https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=31000&clientkey=1E3AC297F410A99B94DEBF41FE3F4AF6&source=JobTarget%20via%20American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_source=JobTarget&utm_medium=American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_campaign=Medicinal%20Chemistry%20Faculty%20(31000)&_jtochash=z1koEQTYGDrlsoJTbYrB&_jtocprof=hq_gqXhY3nw6J5DWrsgAezQ-_y7mf1FH"",""JobTarget"")",,Medicinal / Clinical,,St. Louis,Missouri,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31043/medicinal-chemistry-faculty/"",""C&ENJobs"")",31043
Albert Einstein College of Medicine- Staff Chemist,02/03/2021,03/05/2021,,"=hyperlink(""https://hosted-apply.jobtarget.com/job/Albert-Einstein-College-of-Medicine-Staff-Chemist-k5n5BZIOlPeOuA1H2BnX?iis=JobTarget&iisn=American+Chemical+Society+-+Chemical+%26+Engineering+News+(C%26EN+Jobs)&utm_source=JobTarget&utm_medium=American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_campaign=Albert%20Einstein%20College%20of%20Medicine-%20Staff%20Chemist%20(Albert%20Einstein%20College%20of%20Medicine-%20Staff%20Chemist)&_jtochash=k5n5BZIOlPeOuA1H2BnX&_jtocprof=yJW78E1EFIoZaBkD3qBYNNH3Ejxw150y"",""JobTarget"")",,Biochemical,,Bronx,New York,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31045/albert-einstein-college-of-medicine-staff-chemist/"",""C&ENJobs"")",31045
