ads_title,posted_date,priority_date,category,school,department,specialization,rank,city,state,canada,current_status,comments1,comments2,ads_source,ads_job_code
Visiting Assistant Professor in Organic Chemistry,02/05/2021,,,"=hyperlink(""http://employment.davidson.edu/cw/en-us/job/493724?&lApplicationSubSourceID=11252"",""Davidson College"")",Chemistry,Organic,asst,Davidson,NC,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177403563&Title=Visiting%20Assistant%20Professor%20in%20Organic%20Chemistry"",""HigherEdJobs"")",177403563
Instructor:  Biology and Chemistry,02/05/2021,,,"=hyperlink(""https://niacc.csod.com/ux/ats/careersite/2/home/requisition/163?c=niacc"",""North Iowa Area Community College"")",Biology,Biology,,Mason City,IA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177403799&Title=Instructor%3A%20%20Biology%20and%20Chemistry"",""HigherEdJobs"")",177403799
Assistant Professor Chemistry – Sabbatical Replacement,02/05/2021,,,"=hyperlink(""https://www.lynchburg.edu/about/human-resources/jobs/"",""University of Lynchburg"")",Chemistry,,asst,Lynchburg,VA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177403895&Title=Assistant%20Professor%20Chemistry%20%E2%80%93%20Sabbatical%20Replacement"",""HigherEdJobs"")",177403895
Open Rank - Chemistry Education Research,02/05/2021,03/07/2021,,"=hyperlink(""https://www.higheredjobs.com/institution/details.cfm?JobCode=177403382&Title=Associate%20Professor%20Term%20%28Open%20Rank%29%20%2D%20Immunotherapy%20%28Job%20Id%3A%2040496%29&aID=7137"",""University of Louisville Chemistry"")",,"Education,General / Technical",,University of Louisville,Louisville,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31055/open-rank-chemistry-education-research/?LinkSource=PremiumListing"",""C&ENJobs"")",31055
Tenure Track Faculty Position in Chemistry Pedagogy,02/05/2021,04/06/2021,,"=hyperlink(""https://hr.cf.ryerson.ca/ams/faculty/preview.cfm?posting_id=538832"",""Ryerson University"")",,Education,,Toronto (City),Ontario (CA),,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31052/tenure-track-faculty-position-in-chemistry-pedagogy/?LinkSource=PremiumListing"",""C&ENJobs"")",31052
Tenure Track Assistant Professor in Chemistry,02/04/2021,,,"=hyperlink(""http://apply.interfolio.com/83359"",""University of New Haven"")",Chemistry,,asst,West Haven,CT,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177403186&Title=Tenure%20Track%20Assistant%20Professor%20in%20Chemistry"",""HigherEdJobs"")",177403186
Chemistry Faculty - Tenure-track,02/04/2021,,,"=hyperlink(""https://harford.peopleadmin.com/postings/1597"",""Harford Community College"")",Chemistry,,,Bel Air,MD,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177403226&Title=Chemistry%20Faculty%20%2D%20Tenure%2Dtrack"",""HigherEdJobs"")",177403226
Tenure Track Assistant Professor in Chemistry,02/04/2021,,,"=hyperlink(""http://apply.interfolio.com/83374"",""University of New Haven"")",Chemistry,,asst,West Haven,CT,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177403224&Title=Tenure%20Track%20Assistant%20Professor%20in%20Chemistry"",""HigherEdJobs"")",177403224
Science Instructor,02/04/2021,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402404&Title=Science%20Instructor"",""Cloud County Community College"")",Other Science Faculty,,,Concordia,KS,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402404&Title=Science%20Instructor"",""HigherEdJobs"")",177402404
"Visiting Assistant Professor, Chemistry",02/04/2021,,,"=hyperlink(""https://berry.interviewexchange.com/jobofferdetails.jsp?JOBID=128035"",""Berry College"")",Chemistry,,asst,Mount Berry,GA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402178&Title=Visiting%20Assistant%20Professor%2C%20Chemistry"",""HigherEdJobs"")",177402178
